Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
1,Emil Audero,ITA,GK,Sampdoria,24,1997,28.4,48,1,1,4,1,43.1,0.32,-3.9,-0.14,203,472,43.0,786,120,41.7,36.3,212,67.9,47.6,418,22,5.3,25,0.88,13.5
2,Nicola Bagnolini,ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0.2,0.19,+0.2,+5.78,0,4,0.0,3,0,100.0,61.0,1,100.0,60.0,3,0,0.0,0,0.00,
3,Francesco Bardi,ITA,GK,Bologna,29,1992,2.0,2,0,0,0,0,2.7,0.30,+0.7,+0.37,5,19,26.3,35,6,40.0,33.0,13,38.5,32.1,24,2,8.3,0,0.00,5.5
4,Vid Belec,SVN,GK,Salernitana,31,1990,21.5,49,3,0,4,2,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,329,12,3.6,14,0.65,12.7
5,Alessandro Berardi,ITA,GK,Hellas Verona,30,1991,1.0,3,0,0,0,0,2.3,0.38,-0.7,-0.66,4,19,21.1,23,4,52.2,39.7,7,100.0,58.7,12,0,0.0,0,0.00,
6,Etrit Berisha,ALB,GK,Torino,32,1989,10.0,8,2,0,0,0,10.2,0.18,+2.2,+0.22,53,188,28.2,240,37,50.0,39.4,78,87.2,58.6,148,7,4.7,10,1.00,14.6
7,Andrea Consigli,ITA,GK,Sassuolo,34,1987,36.9,63,8,0,10,1,56.0,0.28,-6.0,-0.16,186,431,43.2,1219,174,29.0,30.9,246,31.7,28.8,491,21,4.3,30,0.81,13.4
8,Alessio Cragno,ITA,GK,Cagliari,27,1994,35.0,63,6,4,10,1,52.4,0.28,-9.6,-0.27,321,703,45.7,890,112,52.9,39.4,316,73.4,48.2,484,22,4.5,33,0.94,15.0
9,Bartłomiej Drągowski,POL,GK,Fiorentina,23,1997,6.2,8,1,0,1,0,8.1,0.24,+0.1,+0.02,43,97,44.3,304,23,26.3,30.8,39,43.6,40.2,61,2,3.3,20,3.24,22.3
10,Wladimiro Falcone,ITA,GK,Sampdoria,26,1995,9.5,14,1,0,0,1,11.8,0.20,-1.2,-0.13,63,150,42.0,284,42,34.5,33.2,74,70.3,45.0,164,7,4.3,2,0.21,10.2
11,Vincenzo Fiorillo,ITA,GK,Salernitana,31,1990,1.0,5,0,0,1,0,2.7,0.34,-2.3,-2.32,11,17,64.7,19,4,36.8,36.4,12,83.3,50.8,16,0,0.0,0,0.00,4.0
12,Luca Gemello,ITA,GK,Torino,21,2000,1.0,0,0,0,0,0,0.2,0.08,+0.2,+0.23,6,24,25.0,31,1,67.7,47.8,3,100.0,56.3,10,0,0.0,1,1.00,21.0
13,Samir Handanović,SVN,GK,Inter,37,1984,37.0,30,4,0,3,1,33.2,0.24,+4.2,+0.11,139,301,46.2,1118,176,24.3,28.1,142,20.4,26.5,393,15,3.8,10,0.27,11.2
14,Luca Lezzerini,ITA,GK,Venezia,26,1995,5.5,9,0,0,0,0,9.3,0.25,+0.3,+0.05,22,59,37.3,155,39,28.4,30.3,44,34.1,31.0,100,2,2.0,3,0.55,13.8
15,Niki Mäenpää,FIN,GK,Venezia,36,1985,16.5,27,5,0,4,0,28.2,0.28,+1.2,+0.07,70,221,31.7,379,74,43.5,36.0,143,39.2,35.4,275,6,2.2,10,0.61,10.8
16,Mike Maignan,FRA,GK,Milan,26,1995,32.0,21,2,0,4,1,24.3,0.22,+4.3,+0.13,157,374,42.0,1004,164,31.5,33.0,149,38.9,36.5,347,25,7.2,45,1.41,16.8
17,Davide Marfella,ITA,GK,Napoli,21,1999,0.1,0,0,0,0,0,0.1,0.05,+0.1,+0.44,0,0,,1,1,0.0,15.0,0,,,1,0,0.0,0,0.00,
18,Alex Meret,ITA,GK,Napoli,24,1997,6.9,6,0,0,0,0,6.4,0.22,+0.4,+0.06,13,29,44.8,160,45,12.5,25.1,36,25.0,26.5,89,3,3.4,5,0.73,14.6
19,Vanja Milinković-Savić,SRB,GK,Torino,24,1997,27.0,33,7,2,4,0,26.7,0.24,-6.3,-0.23,192,659,29.1,849,97,59.5,44.4,169,91.1,66.3,290,18,6.2,22,0.81,14.3
20,Lorenzo Montipò,ITA,GK,Hellas Verona,25,1996,34.0,50,2,1,7,2,40.6,0.28,-7.4,-0.22,189,577,32.8,733,120,57.2,42.3,231,68.4,46.5,495,21,4.2,23,0.68,13.1
21,Juan Musso,ARG,GK,Atalanta,27,1994,32.6,42,3,0,2,3,37.5,0.30,-1.5,-0.05,147,348,42.2,744,170,27.4,31.3,208,69.2,49.7,308,28,9.1,39,1.20,16.5
22,David Ospina,COL,GK,Napoli,32,1988,31.0,25,1,0,3,1,27.6,0.26,+3.6,+0.12,73,193,37.8,842,124,20.7,28.6,135,14.1,22.5,353,18,5.1,31,1.00,17.0
23,Daniele Padelli,ITA,GK,Udinese,35,1985,3.0,8,0,0,0,0,7.0,0.33,-1.0,-0.34,12,42,28.6,89,19,34.8,29.6,22,50.0,40.9,56,1,1.8,2,0.67,13.2
24,Ivor Pandur,CRO,GK,Hellas Verona,21,2000,3.0,6,1,1,1,0,5.7,0.33,-0.3,-0.10,15,26,57.7,53,9,34.0,33.1,15,53.3,37.1,22,1,4.5,1,0.33,11.3
25,Rui Patrício,POR,GK,Roma,33,1988,38.0,43,5,2,5,2,42.2,0.25,+1.2,+0.03,174,393,44.3,854,141,37.7,34.2,222,32.0,31.5,393,12,3.1,26,0.68,14.3
26,Gianluca Pegolo,ITA,GK,Sassuolo,40,1981,1.0,3,0,0,1,0,1.8,0.37,-1.2,-1.17,2,5,40.0,26,4,15.4,26.7,8,12.5,19.8,8,1,12.5,0,0.00,6.0
