Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Tammy Abraham,ENG,FW,Roma,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0
2,Francesco Acerbi,ITA,DF,Lazio,33,1988,28.2,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0
3,Michel Aebischer,SUI,MF,Bologna,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Felix Afena-Gyan,GHA,FW|MF,Roma,18,2003,7.4,23,3.10,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0
5,Kevin Agudelo,COL,MF|FW,Spezia,22,1998,13.7,39,2.84,21,0,6,4,4,4,3,0.22,1,0,0,0,0,2
6,Ola Aina,NGA,DF,Torino,24,1996,16.0,37,2.32,29,2,3,0,3,0,1,0.06,1,0,0,0,0,0
7,Marley Aké,FRA,FW|MF,Juventus,20,2001,0.9,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,28,1992,3.5,3,0.86,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
9,Luis Alberto,ESP,MF,Lazio,28,1992,26.1,120,4.59,83,26,3,3,5,0,16,0.61,6,7,1,2,0,0
10,Giorgio Altare,ITA,DF,Cagliari,22,1998,16.3,27,1.66,16,3,1,7,0,0,0,0.00,0,0,0,0,0,0
11,Wisdom Amey,ITA,DF,Bologna,15,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Kelvin Amian,FRA,DF,Spezia,23,1998,29.4,33,1.12,22,3,3,3,2,0,1,0.03,1,0,0,0,0,0
13,Nadiem Amiri,GER,MF|FW,Genoa,24,1996,7.6,30,3.96,24,4,1,0,1,0,1,0.13,1,0,0,0,0,0
14,Ethan Ampadu,WAL,MF|DF,Venezia,20,2000,25.4,45,1.77,39,4,1,0,0,1,6,0.24,5,1,0,0,0,0
15,Sofyan Amrabat,MAR,MF,Fiorentina,24,1996,10.5,18,1.72,16,0,1,0,1,0,0,0.00,0,0,0,0,0,0
16,Felipe Anderson,BRA,FW,Lazio,28,1993,32.1,115,3.59,87,3,10,5,9,1,19,0.59,13,0,4,2,0,0
17,Ebenezer Annan,GHA,DF,Bologna,18,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Cristian Ansaldi,ARG,DF,Torino,34,1986,7.7,29,3.79,22,3,2,2,0,0,6,0.78,5,0,0,1,0,0
19,Janis Antiste,FRA,FW,Spezia,18,2002,8.8,14,1.58,12,0,1,1,0,0,0,0.00,0,0,0,0,0,0
20,Mattia Aramu,ITA,MF|FW,Venezia,26,1995,23.3,75,3.21,31,22,2,5,15,0,11,0.47,7,1,0,0,3,0
21,Marko Arnautović,AUT,FW,Bologna,32,1989,29.9,89,2.97,71,0,7,9,2,0,7,0.23,5,0,1,1,0,0
22,Tolgay Arslan,GER,MF,Udinese,30,1990,18.4,48,2.60,30,5,1,4,7,1,8,0.43,3,0,0,2,3,0
23,Arthur,BRA,FW,Fiorentina,23,1998,8.3,17,2.05,10,0,3,1,2,1,5,0.60,3,0,1,1,0,0
24,Kristoffer Askildsen,NOR,MF,Sampdoria,20,2001,8.4,7,0.84,5,0,2,0,0,0,1,0.12,1,0,0,0,0,0
25,Kristjan Asllani,ALB,MF,Empoli,19,2002,15.0,30,2.00,22,3,0,3,2,0,3,0.20,3,0,0,0,0,0
26,Emil Audero,ITA,GK,Sampdoria,24,1997,28.4,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Tommaso Augello,ITA,DF,Sampdoria,26,1994,26.6,49,1.84,34,4,5,1,3,2,2,0.08,2,0,0,0,0,0
28,Ramzi Aya,ITA,DF,Salernitana,30,1990,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Kaan Ayhan,TUR,DF,Sassuolo,26,1994,15.0,8,0.53,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Milan Badelj,CRO,MF,Genoa,32,1989,31.6,72,2.28,64,0,1,1,2,4,2,0.06,0,0,1,0,1,0
31,Nicola Bagnolini,ITA,GK,Bologna,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Issa Bah,LUX,FW,Venezia,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,Nedim Bajrami,ALB,MF|FW,Empoli,22,1999,22.8,104,4.55,66,21,8,5,1,3,7,0.31,5,1,0,1,0,0
34,Tiemoué Bakayoko,FRA,MF,Milan,26,1994,5.6,7,1.26,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0
35,Tommaso Baldanzi,ITA,FW,Empoli,18,2003,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Keita Baldé,SEN,FW,Cagliari,26,1995,13.7,23,1.68,14,0,1,4,3,1,2,0.15,1,0,0,0,1,0
37,Fodé Ballo-Touré,SEN,DF,Milan,24,1997,5.0,13,2.62,11,0,1,0,1,0,2,0.40,2,0,0,0,0,0
38,Filippo Bandinelli,ITA,MF,Empoli,26,1995,21.7,58,2.67,46,4,3,3,1,1,4,0.18,4,0,0,0,0,0
39,Mattia Bani,ITA,DF,Genoa,27,1993,13.5,5,0.37,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
40,Antonín Barák,CZE,MF|FW,Hellas Verona,26,1994,26.0,70,2.69,57,1,4,6,2,0,9,0.35,6,0,1,1,1,0
41,Francesco Bardi,ITA,GK,Bologna,29,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
42,Nicolò Barella,ITA,MF,Inter,24,1997,32.4,140,4.32,116,0,10,6,6,2,21,0.65,18,0,1,1,1,0
43,Musa Barrow,GAM,FW|MF,Bologna,22,1998,23.7,87,3.67,65,11,3,4,4,0,10,0.42,8,1,0,1,0,0
44,Daniele Baselli,ITA,MF|FW,Torino,29,1992,1.7,2,1.23,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
45,Daniele Baselli,ITA,MF,Cagliari,29,1992,3.2,15,4.69,8,3,0,2,0,2,1,0.31,0,1,0,0,0,0
46,Toma Bašić,CRO,MF,Lazio,24,1996,10.9,9,0.83,5,1,1,2,0,0,3,0.28,1,1,0,1,0,0
47,Alessandro Bastoni,ITA,DF,Inter,22,1999,25.7,45,1.75,39,0,2,2,0,2,5,0.19,5,0,0,0,0,0
48,Simone Bastoni,ITA,MF|DF,Spezia,24,1996,25.4,80,3.15,49,22,3,4,1,1,5,0.20,3,1,0,1,0,0
49,Rodrigo Becão,BRA,DF,Udinese,25,1996,34.8,27,0.78,20,3,1,0,3,0,1,0.03,1,0,0,0,0,0
50,Valon Behrami,SUI,MF|FW,Genoa,36,1985,3.5,5,1.45,4,0,0,1,0,0,1,0.29,1,0,0,0,0,0
51,Vid Belec,SVN,GK,Salernitana,31,1990,21.5,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
52,Raoul Bellanova,ITA,DF|FW,Cagliari,21,2000,27.7,66,2.38,54,1,4,2,5,0,8,0.29,8,0,0,0,0,0
53,Andrea Belotti,ITA,FW,Torino,27,1993,15.2,38,2.49,18,2,2,7,9,0,4,0.26,1,0,1,0,2,0
54,Marco Benassi,ITA,DF|MF,Fiorentina,26,1994,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
55,Marco Benassi,ITA,MF,Empoli,26,1994,4.2,7,1.65,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0
56,Filip Benković,CRO,DF|FW,Udinese,24,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
57,Ismaël Bennacer,ALG,MF,Milan,23,1997,16.9,61,3.60,44,7,4,1,3,2,3,0.18,3,0,0,0,0,0
58,Rodrigo Bentancur,URU,MF,Juventus,24,1997,12.8,36,2.81,30,1,0,3,0,2,3,0.23,2,0,0,1,0,0
59,Alessandro Berardi,ITA,GK,Hellas Verona,30,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
60,Domenico Berardi,ITA,FW,Sassuolo,26,1994,31.3,170,5.42,126,22,8,3,8,3,22,0.70,17,2,1,0,2,0
61,Bartosz Bereszyński,POL,DF,Sampdoria,29,1992,32.7,54,1.65,39,7,4,2,2,0,7,0.21,4,2,1,0,0,0
62,Etrit Berisha,ALB,GK,Torino,32,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
63,Federico Bernardeschi,ITA,MF|FW,Juventus,27,1994,16.4,62,3.78,40,5,6,8,3,0,4,0.24,3,0,0,1,0,0
64,Nicolò Bertola,ITA,MF|DF,Spezia,18,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
65,Daniel Bessa,ITA,MF,Hellas Verona,28,1993,8.5,26,3.05,25,0,0,1,0,0,4,0.47,4,0,0,0,0,0
66,Beto,GNB,FW,Udinese,23,1998,24.1,49,2.03,31,0,7,9,2,0,3,0.12,1,0,0,2,0,0
67,Luis Binks,ENG,DF,Bologna,19,2001,7.2,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
68,Cristiano Biraghi,ITA,DF,Fiorentina,28,1992,35.0,126,3.59,64,55,0,6,1,0,8,0.23,5,3,0,0,0,0
69,Davide Biraschi,ITA,DF,Genoa,27,1994,10.3,5,0.48,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
70,Bjarki Bjarkason,ISL,MF,Venezia,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Jeremie Boga,CIV,FW|MF,Atalanta,24,1997,8.5,51,6.01,32,6,6,3,2,2,0,0.00,0,0,0,0,0,0
72,Jeremie Boga,CIV,FW|MF,Sassuolo,24,1997,7.4,24,3.22,16,0,5,1,2,0,4,0.54,2,0,1,0,1,0
73,Luka Bogdan,CRO,DF,Salernitana,25,1996,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Emil Bohinen,NOR,MF,Salernitana,22,1999,7.8,25,3.22,15,7,2,0,1,0,1,0.13,0,1,0,0,0,0
75,Giacomo Bonaventura,ITA,MF,Fiorentina,31,1989,25.2,83,3.30,69,1,3,5,5,0,13,0.52,9,0,0,2,2,0
76,Federico Bonazzoli,ITA,FW|MF,Salernitana,24,1997,20.7,41,1.98,26,0,1,6,6,2,1,0.05,1,0,0,0,0,0
77,Kevin Bonifazi,ITA,DF,Bologna,25,1996,13.4,12,0.89,9,0,1,2,0,0,2,0.15,1,0,0,1,0,0
