Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Emil Audero,ITA,GK,Sampdoria,24,1997,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0
2,Nicola Bagnolini,ITA,GK,Bologna,17,2004,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
3,Francesco Bardi,ITA,GK,Bologna,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
4,Vid Belec,SVN,GK,Salernitana,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0
5,Alessandro Berardi,ITA,GK,Hellas Verona,30,1991,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
6,Etrit Berisha,ALB,GK,Torino,32,1989,10,10,900,10.0,8,0.80,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3
7,Andrea Consigli,ITA,GK,Sassuolo,34,1987,37,37,3322,36.9,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0,11.1
8,Alessio Cragno,ITA,GK,Cagliari,27,1994,35,35,3150,35.0,63,1.80,168,104,66.1,6,10,19,2,5.7,8,6,2,0,25.0
9,Bartłomiej Drągowski,POL,GK,Fiorentina,23,1997,7,7,556,6.2,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0,50.0
10,Wladimiro Falcone,ITA,GK,Sampdoria,26,1995,10,9,855,9.5,14,1.47,54,41,75.9,2,1,6,2,22.2,1,1,0,0,0.0
11,Vincenzo Fiorillo,ITA,GK,Salernitana,31,1990,1,1,90,1.0,5,5.00,8,3,37.5,0,0,1,0,0.0,0,0,0,0,
12,Luca Gemello,ITA,GK,Torino,21,2000,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
13,Samir Handanović,SVN,GK,Inter,37,1984,37,37,3330,37.0,30,0.81,124,95,79.0,25,9,3,15,40.5,4,4,0,0,0.0
14,Luca Lezzerini,ITA,GK,Venezia,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0,
15,Niki Mäenpää,FIN,GK,Venezia,36,1985,17,16,1485,16.5,27,1.64,84,57,73.8,1,4,11,1,6.3,6,5,0,1,0.0
16,Mike Maignan,FRA,GK,Milan,26,1995,32,32,2880,32.0,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0.0
17,Davide Marfella,ITA,GK,Napoli,21,1999,1,0,11,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
18,Alex Meret,ITA,GK,Napoli,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,2,28.6,0,0,0,0,
19,Vanja Milinković-Savić,SRB,GK,Torino,24,1997,27,27,2430,27.0,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,0,12.5
20,Lorenzo Montipò,ITA,GK,Hellas Verona,25,1996,34,34,3060,34.0,50,1.47,137,88,65.0,13,10,11,4,11.8,3,2,1,0,33.3
21,Juan Musso,ARG,GK,Atalanta,27,1994,33,33,2932,32.6,42,1.29,119,80,67.2,16,8,9,8,24.2,4,3,0,1,0.0
22,David Ospina,COL,GK,Napoli,32,1988,31,31,2790,31.0,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0,0.0
23,Daniele Padelli,ITA,GK,Udinese,35,1985,3,3,270,3.0,8,2.67,21,13,61.9,1,0,2,1,33.3,0,0,0,0,
24,Ivor Pandur,CRO,GK,Hellas Verona,21,2000,3,3,270,3.0,6,2.00,15,9,66.7,1,0,2,0,0.0,1,1,0,0,0.0
25,Rui Patrício,POR,GK,Roma,33,1988,38,38,3420,38.0,43,1.13,146,104,74.0,18,9,11,15,39.5,6,5,1,0,16.7
26,Gianluca Pegolo,ITA,GK,Sassuolo,40,1981,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
27,Mattia Perin,ITA,GK,Juventus,28,1992,5,5,405,4.5,7,1.56,16,10,56.3,2,1,2,1,20.0,0,0,0,0,
28,Carlo Pinsoglio,ITA,GK,Juventus,31,1990,1,0,45,0.5,1,2.00,2,1,100.0,0,0,0,0,,1,1,0,0,0.0
29,Ivan Provedel,ITA,GK,Spezia,27,1994,31,31,2761,30.7,52,1.70,165,116,73.9,9,5,17,7,22.6,11,9,0,2,0.0
30,Ionuț Radu,ROU,GK,Inter,24,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
31,Boris Radunović,SRB,GK,Cagliari,25,1996,3,3,270,3.0,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,0,50.0
32,Nicola Ravaglia,ITA,GK,Sampdoria,32,1988,1,0,5,0.1,1,18.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
33,Pepe Reina,ESP,GK,Lazio,38,1982,15,15,1350,15.0,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1,0.0
34,Sergio Romero,ARG,GK,Venezia,34,1987,16,16,1440,16.0,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0,0.0
35,Francesco Rossi,ITA,GK,Atalanta,30,1991,1,0,37,0.4,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,
36,Giacomo Satalino,ITA,GK,Sassuolo,22,1999,1,0,8,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
37,Adrian Šemper,CRO,GK,Genoa,23,1998,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
38,Luigi Sepe,ITA,GK,Salernitana,30,1991,16,16,1392,15.5,24,1.55,78,54,73.1,4,8,4,1,6.3,3,3,0,0,0.0
39,Marco Silvestri,ITA,GK,Udinese,30,1991,35,35,3150,35.0,50,1.43,141,92,68.1,10,14,11,7,20.0,7,5,0,2,0.0
