Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Tammy Abraham,ENG,FW,Roma,23,1997,37,3084,83,90.2,34.3,36,85,23,1,32,0,1.70,54,38,+16,+0.47,+0.47,59.3,33.2,+26.1,+0.76,+0.59
2,Salim Abubakar,NIG,MF,Sassuolo,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
3,Francesco Acerbi,ITA,DF,Lazio,33,1988,30,2536,85,74.2,28.2,29,87,27,1,7,0,1.67,59,48,+11,+0.39,-0.42,38.1,35.9,+2.1,+0.08,-0.48
4,Marius Adamonis,LTU,GK,Lazio,24,1997,0,,,,,0,,0,0,,36,,,,,,,,,,,
5,Michel Aebischer,SUI,MF,Bologna,24,1997,12,443,37,13.0,4.9,4,76,2,8,18,4,1.42,3,2,+1,+0.20,+0.57,4.6,7.8,-3.2,-0.65,-0.52
6,Felix Afena-Gyan,GHA,FW|MF,Roma,18,2003,17,668,39,19.5,7.4,6,66,0,11,25,8,1.65,13,9,+4,+0.54,+0.15,11.2,7.0,+4.2,+0.56,-0.18
7,Vittorio Agostinelli,ITA,MF,Fiorentina,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
8,Lucien Agoume,FRA,MF,Inter,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
9,Kevin Agudelo,COL,FW|MF,Genoa,22,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
10,Kevin Agudelo,COL,MF|FW,Spezia,22,1998,23,1237,54,36.2,13.7,12,77,3,11,28,0,0.91,16,23,-7,-0.51,+0.44,15.2,23.7,-8.4,-0.61,+0.04
11,Ola Aina,NGA,DF,Torino,24,1996,21,1437,68,42.0,16.0,17,80,7,4,19,12,1.29,17,19,-2,-0.13,-0.44,19.9,16.5,+3.5,+0.22,-0.07
12,Marley Aké,FRA,FW|MF,Juventus,20,2001,4,77,19,2.3,0.9,0,,0,4,19,8,0.50,1,4,-3,-3.51,-4.13,0.7,3.4,-2.7,-3.16,-3.59
13,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,28,1992,10,315,32,9.2,3.5,4,62,0,6,11,21,1.50,6,8,-2,-0.57,-1.18,2.5,6.0,-3.5,-1.01,-1.33
14,Luis Alberto,ESP,MF,Lazio,28,1992,34,2353,69,68.8,26.1,27,80,11,7,29,1,1.74,51,35,+16,+0.61,+0.36,37.3,29.0,+8.2,+0.32,+0.37
15,Giorgio Altare,ITA,DF,Cagliari,22,1998,19,1466,77,42.9,16.3,17,82,12,2,34,18,0.95,14,23,-9,-0.55,+0.60,17.6,24.8,-7.2,-0.44,+0.23
16,Giuseppe Ambrosino,ITA,FW,Napoli,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
17,Wisdom Amey,ITA,DF,Bologna,15,2005,1,71,71,2.1,0.8,1,71,0,0,,4,3.00,1,0,+1,+1.27,+1.59,0.7,0.6,+0.1,+0.12,+0.33
18,Kelvin Amian,FRA,DF,Spezia,23,1998,32,2646,83,77.4,29.4,31,84,26,1,45,1,1.00,36,56,-20,-0.68,+0.48,32.4,48.0,-15.6,-0.53,+0.48
19,Nadiem Amiri,GER,MF|FW,Genoa,24,1996,13,683,53,20.0,7.6,9,65,2,4,25,0,1.00,4,10,-6,-0.79,+0.10,7.6,10.3,-2.7,-0.35,+0.12
20,Ethan Ampadu,WAL,MF|DF,Venezia,20,2000,29,2282,79,66.7,25.4,26,84,18,3,34,0,0.69,20,44,-24,-0.95,-0.08,22.2,47.5,-25.3,-1.00,-0.20
21,Sofyan Amrabat,MAR,MF,Fiorentina,24,1996,23,944,41,27.6,10.5,8,84,6,15,18,8,1.78,12,13,-1,-0.10,-0.42,11.5,11.0,+0.5,+0.05,-0.64
22,Felipe Anderson,BRA,FW,Lazio,28,1993,38,2888,76,84.4,32.1,33,82,16,5,36,0,1.68,61,50,+11,+0.34,-1.01,47.6,39.9,+7.7,+0.24,+0.24
23,Lorenzo Andrenacci,ITA,GK,Genoa,26,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,
24,Samuele Angori,ITA,DF,Torino,17,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
25,Ebenezer Annan,GHA,DF,Bologna,18,2002,1,25,25,0.7,0.3,0,,0,1,25,2,0.00,0,1,-1,-3.60,-3.33,0.4,0.7,-0.3,-0.97,-0.77
26,Cristian Ansaldi,ARG,DF,Torino,34,1986,19,691,36,20.2,7.7,5,74,2,14,23,10,1.21,12,12,0,0.00,-0.16,9.6,11.0,-1.4,-0.18,-0.55
27,Janis Antiste,FRA,FW,Spezia,18,2002,18,796,44,23.3,8.8,9,70,2,9,18,17,0.72,8,23,-15,-1.70,-1.18,13.1,14.3,-1.3,-0.14,+0.65
28,Andrei Anton,ITA,DF,Torino,17,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
29,Mattia Aramu,ITA,MF|FW,Venezia,26,1995,32,2100,66,61.4,23.3,25,75,7,7,31,0,0.81,24,39,-15,-0.64,+0.72,24.8,39.9,-15.1,-0.65,+0.74
30,Simone Aresti,ITA,GK,Cagliari,35,1986,0,,,,,0,,0,0,,36,,,,,,,,,,,
31,Marko Arnautović,AUT,FW,Bologna,32,1989,33,2694,82,78.8,29.9,32,84,20,1,13,1,1.24,35,43,-8,-0.27,+0.10,38.0,40.1,-2.1,-0.07,+0.63
32,Tolgay Arslan,GER,MF,Udinese,30,1990,30,1658,55,48.5,18.4,22,67,0,8,24,6,1.27,26,20,+6,+0.33,+0.48,22.3,23.4,-1.2,-0.06,-0.07
33,Arthur,BRA,FW,Fiorentina,23,1998,14,749,54,21.9,8.3,8,78,2,6,21,2,1.57,11,11,0,0.00,-0.27,13.8,8.8,+5.1,+0.61,+0.13
34,Kristoffer Askildsen,NOR,MF,Sampdoria,20,2001,19,754,40,22.0,8.4,7,80,2,12,16,13,0.89,6,11,-5,-0.60,-0.19,7.3,10.7,-3.4,-0.40,+0.14
35,Kristjan Asllani,ALB,MF,Empoli,19,2002,23,1353,59,39.6,15.0,14,87,12,9,15,10,0.96,13,24,-11,-0.73,-0.34,14.9,25.0,-10.1,-0.67,-0.19
36,Christian Aucelli,ITA,MF,Sassuolo,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
