Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,James Abankwah,IRL,DF,Udinese,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0
2,Oliver Abildgaard,DEN,MF,Hellas Verona,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4
3,Tammy Abraham,ENG,FW,Roma,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9
4,Christian Acella,ITA,MF,Cremonese,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,Francesco Acerbi,ITA,DF,Inter,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0
6,Yacine Adli,FRA,MF|FW,Milan,22,2000,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0
7,Michel Aebischer,SUI,FW|MF,Bologna,25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6
8,Felix Afena-Gyan,GHA,FW|MF,Cremonese,19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8
9,Kevin Agudelo,COL,MF|FW,Spezia,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6
10,Ola Aina,NGA,DF,Torino,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5
11,Emanuel Aiwum,AUT,DF,Cremonese,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2
12,Jean-Daniel Akpa-Akpro,CIV,MF|FW,Empoli,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1
13,Luis Alberto,ESP,MF,Lazio,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1
14,Agustín Álvarez Martínez,URU,FW|MF,Sassuolo,21,2001,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0
15,Kelvin Amian,FRA,DF,Spezia,24,1998,26.4,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.3
16,Bruno Amione,ARG,DF,Hellas Verona,20,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0
17,Bruno Amione,ARG,DF,Sampdoria,20,2002,23.2,10,1,1,24,16,0,5,25,33,0,1,0,121,68,43,61.3
